,Year,Category,Prize,Motivation,Prize Share,Laureate ID,Laureate Type,Full Name,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country,Moved
157,1931,Chemistry,The Nobel Prize in Chemistry 1931,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",2-Jan,189,Individual,Carl Bosch,1874-08-27,Cologne,Germany,Male,University of Heidelberg,Heidelberg,Germany,4/26/1940,Heidelberg,Germany,no
158,1931,Chemistry,The Nobel Prize in Chemistry 1931,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",2-Jan,189,Individual,Carl Bosch,1874-08-27,Cologne,Germany,Male,I.G. Farbenindustrie A.G.,Heidelberg,Germany,4/26/1940,Heidelberg,Germany,no
159,1931,Chemistry,The Nobel Prize in Chemistry 1931,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",2-Jan,190,Individual,Friedrich Bergius,1884-10-11,"Goldschmieden, near Breslau",Germany (Poland),Male,University of Heidelberg,Heidelberg,Germany,3/30/1949,Buenos Aires,Argentina,yes
160,1931,Chemistry,The Nobel Prize in Chemistry 1931,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",2-Jan,190,Individual,Friedrich Bergius,1884-10-11,"Goldschmieden, near Breslau",Germany (Poland),Male,I.G. Farbenindustrie A.G.,Mannheim-Rheinau,Germany,3/30/1949,Buenos Aires,Argentina,yes
162,1931,Medicine,The Nobel Prize in Physiology or Medicine 1931,"""for his discovery of the nature and mode of action of the respiratory enzyme""",1-Jan,322,Individual,Otto Heinrich Warburg,1883-10-08,Freiburg im Breisgau,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biologie,Berlin-Dahlem,Germany,8/1/1970,West Berlin,West Germany (Germany),no
164,1931,Peace,The Nobel Peace Prize 1931,,2-Jan,497,Individual,Nicholas Murray Butler,1862-04-02,"Elizabeth, NJ",United States of America,Male,Columbia University,"New York, NY",United States of America,12/7/1947,"New York, NY",United States of America,no
165,1932,Chemistry,The Nobel Prize in Chemistry 1932,"""for his discoveries and investigations in surface chemistry""",1-Jan,191,Individual,Irving Langmuir,1881-01-31,"Brooklyn, NY",United States of America,Male,General Electric Company,"Schenectady, NY",United States of America,8/16/1957,"Falmouth, MA",United States of America,no
167,1932,Medicine,The Nobel Prize in Physiology or Medicine 1932,"""for their discoveries regarding the functions of neurons""",2-Jan,323,Individual,Sir Charles Scott Sherrington,1857-11-27,London,United Kingdom,Male,University of Oxford,Oxford,United Kingdom,3/4/1952,Eastbourne,United Kingdom,no
168,1932,Medicine,The Nobel Prize in Physiology or Medicine 1932,"""for their discoveries regarding the functions of neurons""",2-Jan,324,Individual,Edgar Douglas Adrian,1889-11-30,London,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,8/8/1977,Cambridge,United Kingdom,no
169,1932,Physics,The Nobel Prize in Physics 1932,"""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen""",1-Jan,38,Individual,Werner Karl Heisenberg,12/5/1901,Würzburg,Germany,Male,Leipzig University,Leipzig,Germany,2/1/1976,Munich,West Germany (Germany),no
171,1933,Medicine,The Nobel Prize in Physiology or Medicine 1933,"""for his discoveries concerning the role played by the chromosome in heredity""",1-Jan,325,Individual,Thomas Hunt Morgan,1866-09-25,"Lexington, KY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,12/4/1945,"Pasadena, CA",United States of America,no
173,1933,Physics,The Nobel Prize in Physics 1933,"""for the discovery of new productive forms of atomic theory""",2-Jan,39,Individual,Erwin Schrödinger,1887-08-12,Vienna,Austria,Male,Berlin University,Berlin,Germany,1/4/1961,Vienna,Austria,yes
174,1933,Physics,The Nobel Prize in Physics 1933,"""for the discovery of new productive forms of atomic theory""",2-Jan,40,Individual,Paul Adrien Maurice Dirac,8/8/1902,Bristol,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,10/20/1984,"Tallahassee, FL",United States of America,no
175,1934,Chemistry,The Nobel Prize in Chemistry 1934,"""for his discovery of heavy hydrogen""",1-Jan,192,Individual,Harold Clayton Urey,1893-04-29,"Walkerton, IN",United States of America,Male,Columbia University,"New York, NY",United States of America,1/5/1981,"La Jolla, CA",United States of America,no
177,1934,Medicine,The Nobel Prize in Physiology or Medicine 1934,"""for their discoveries concerning liver therapy in cases of anaemia""",3-Jan,326,Individual,George Hoyt Whipple,1878-08-28,"Ashland, NH",United States of America,Male,University of Rochester,"Rochester, NY",United States of America,2/1/1976,"Rochester, NY",United States of America,no
178,1934,Medicine,The Nobel Prize in Physiology or Medicine 1934,"""for their discoveries concerning liver therapy in cases of anaemia""",3-Jan,327,Individual,George Richards Minot,1885-12-02,"Boston, MA",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,2/25/1950,"Brookline, MA",United States of America,no
179,1934,Medicine,The Nobel Prize in Physiology or Medicine 1934,"""for their discoveries concerning liver therapy in cases of anaemia""",3-Jan,328,Individual,William Parry Murphy,1892-02-06,"Stoughton, WI",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,10/9/1987,"Brookline, MA",United States of America,no
180,1934,Medicine,The Nobel Prize in Physiology or Medicine 1934,"""for their discoveries concerning liver therapy in cases of anaemia""",3-Jan,328,Individual,William Parry Murphy,1892-02-06,"Stoughton, WI",United States of America,Male,Peter Brent Brigham Hospital,"Boston, MA",United States of America,10/9/1987,"Brookline, MA",United States of America,no
182,1935,Chemistry,The Nobel Prize in Chemistry 1935,"""in recognition of their synthesis of new radioactive elements""",2-Jan,193,Individual,Frédéric Joliot,3/19/1900,Paris,France,Male,Institut du Radium,Paris,France,8/14/1958,Paris,France,no
183,1935,Chemistry,The Nobel Prize in Chemistry 1935,"""in recognition of their synthesis of new radioactive elements""",2-Jan,194,Individual,Irène Joliot-Curie,1897-09-12,Paris,France,Female,Institut du Radium,Paris,France,3/17/1956,Paris,France,no
184,1935,Medicine,The Nobel Prize in Physiology or Medicine 1935,"""for his discovery of the organizer effect in embryonic development""",1-Jan,329,Individual,Hans Spemann,1869-06-27,Stuttgart,W&uuml;rttemberg (Germany),Male,University of Freiburg im Breisgau,Breisgau,Germany,9/12/1941,Freiburg im Breisgau,Germany,yes
186,1935,Physics,The Nobel Prize in Physics 1935,"""for the discovery of the neutron""",1-Jan,41,Individual,James Chadwick,1891-10-20,Manchester,United Kingdom,Male,Liverpool University,Liverpool,United Kingdom,7/24/1974,Cambridge,United Kingdom,no
187,1936,Chemistry,The Nobel Prize in Chemistry 1936,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",1-Jan,195,Individual,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Maastricht,Netherlands,Male,Berlin University,Berlin,Germany,11/2/1966,"Ithaca, NY",United States of America,yes
188,1936,Chemistry,The Nobel Prize in Chemistry 1936,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",1-Jan,195,Individual,Petrus (Peter) Josephus Wilhelmus Debye,1884-03-24,Maastricht,Netherlands,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,11/2/1966,"Ithaca, NY",United States of America,yes
190,1936,Medicine,The Nobel Prize in Physiology or Medicine 1936,"""for their discoveries relating to chemical transmission of nerve impulses""",2-Jan,330,Individual,Sir Henry Hallett Dale,1875-06-09,London,United Kingdom,Male,National Institute for Medical Research,London,United Kingdom,7/23/1968,Cambridge,United Kingdom,no
191,1936,Medicine,The Nobel Prize in Physiology or Medicine 1936,"""for their discoveries relating to chemical transmission of nerve impulses""",2-Jan,331,Individual,Otto Loewi,1873-06-03,Frankfurt-on-the-Main,Germany,Male,Graz University,Graz,Austria,12/25/1961,"New York, NY",United States of America,yes
193,1936,Physics,The Nobel Prize in Physics 1936,"""for his discovery of cosmic radiation""",2-Jan,42,Individual,Victor Franz Hess,1883-06-24,Peggau,Austria,Male,Innsbruck University,Innsbruck,Austria,12/17/1964,"Mount Verno, NY",United States of America,no
194,1936,Physics,The Nobel Prize in Physics 1936,"""for his discovery of the positron""",2-Jan,43,Individual,Carl David Anderson,9/3/1905,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1/11/1991,"San Marino, CA",United States of America,no
195,1937,Chemistry,The Nobel Prize in Chemistry 1937,"""for his investigations on carbohydrates and vitamin C""",2-Jan,196,Individual,Walter Norman Haworth,1883-03-19,Chorley,United Kingdom,Male,Birmingham University,Birmingham,United Kingdom,3/19/1950,Birmingham,United Kingdom,no
196,1937,Chemistry,The Nobel Prize in Chemistry 1937,"""for his investigations on carotenoids, flavins and vitamins A and B2""",2-Jan,197,Individual,Paul Karrer,1889-04-21,Moscow,Russia,Male,University of Zurich,Zurich,Switzerland,6/18/1971,Zurich,Switzerland,yes
198,1937,Medicine,The Nobel Prize in Physiology or Medicine 1937,"""for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid""",1-Jan,332,Individual,Albert von Szent-Györgyi Nagyrápolt,1893-09-16,Budapest,Austria-Hungary (Hungary),Male,Szeged University,Szeged,Hungary,10/22/1986,"Woods Hole, MA",United States of America,yes
200,1937,Physics,The Nobel Prize in Physics 1937,"""for their experimental discovery of the diffraction of electrons by crystals""",2-Jan,44,Individual,Clinton Joseph Davisson,1881-10-22,"Bloomington, IL",United States of America,Male,Bell Telephone Laboratories,"New York, NY",United States of America,2/1/1958,"Charlottesville, VA",United States of America,no
201,1937,Physics,The Nobel Prize in Physics 1937,"""for their experimental discovery of the diffraction of electrons by crystals""",2-Jan,45,Individual,George Paget Thomson,1892-05-03,Cambridge,United Kingdom,Male,London University,London,United Kingdom,9/10/1975,Cambridge,United Kingdom,no
202,1938,Chemistry,The Nobel Prize in Chemistry 1938,"""for his work on carotenoids and vitamins""",1-Jan,198,Individual,Richard Kuhn,12/3/1900,Vienna,Austria-Hungary (Austria),Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Heidelberg,Germany,7/31/1967,Heidelberg,West Germany (Germany),yes
203,1938,Chemistry,The Nobel Prize in Chemistry 1938,"""for his work on carotenoids and vitamins""",1-Jan,198,Individual,Richard Kuhn,12/3/1900,Vienna,Austria-Hungary (Austria),Male,University of Heidelberg,Heidelberg,Germany,7/31/1967,Heidelberg,West Germany (Germany),yes
205,1938,Medicine,The Nobel Prize in Physiology or Medicine 1938,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration""",1-Jan,333,Individual,Corneille Jean François Heymans,1892-03-28,Ghent,Belgium,Male,Ghent University,Ghent,Belgium,7/18/1968,Knokke,Belgium,no
207,1938,Physics,The Nobel Prize in Physics 1938,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons""",1-Jan,46,Individual,Enrico Fermi,9/29/1901,Rome,Italy,Male,Rome University,Rome,Italy,11/28/1954,"Chicago, IL",United States of America,no
208,1939,Chemistry,The Nobel Prize in Chemistry 1939,"""for his work on sex hormones""",2-Jan,199,Individual,Adolf Friedrich Johann Butenandt,3/24/1903,Bremerhaven-Lehe,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Berlin-Dahlem,Germany,1/18/1995,Munich,Germany,no
209,1939,Chemistry,The Nobel Prize in Chemistry 1939,"""for his work on sex hormones""",2-Jan,199,Individual,Adolf Friedrich Johann Butenandt,3/24/1903,Bremerhaven-Lehe,Germany,Male,Berlin University,Berlin,Germany,1/18/1995,Munich,Germany,no
210,1939,Chemistry,The Nobel Prize in Chemistry 1939,"""for his work on polymethylenes and higher terpenes""",2-Jan,200,Individual,Leopold Ruzicka,1887-09-13,Vukovar,Austria-Hungary (Croatia),Male,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,9/26/1976,Zurich,Switzerland,yes
212,1939,Medicine,The Nobel Prize in Physiology or Medicine 1939,"""for the discovery of the antibacterial effects of prontosil""",1-Jan,334,Individual,Gerhard Domagk,1895-10-30,Lagow,Germany (Poland),Male,Munster University,Munster,Germany,4/24/1964,Burgberg,West Germany (Germany),yes
213,1939,Physics,The Nobel Prize in Physics 1939,"""for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements""",1-Jan,47,Individual,Ernest Orlando Lawrence,8/8/1901,"Canton, SD",United States of America,Male,University of California,"Berkeley, CA",United States of America,8/27/1958,"Palo Alto, CA",United States of America,no
214,1943,Chemistry,The Nobel Prize in Chemistry 1943,"""for his work on the use of isotopes as tracers in the study of chemical processes""",1-Jan,201,Individual,George de Hevesy,1885-08-01,Budapest,Austria-Hungary (Hungary),Male,Stockholm University,Stockholm,Sweden,7/5/1966,Freiburg im Breisgau,West Germany (Germany),yes
215,1943,Medicine,The Nobel Prize in Physiology or Medicine 1943,"""for his discovery of vitamin K""",2-Jan,335,Individual,Henrik Carl Peter Dam,1895-02-21,Copenhagen,Denmark,Male,Polytechnic Institute,Copenhagen,Denmark,4/17/1976,Copenhagen,Denmark,no
216,1943,Medicine,The Nobel Prize in Physiology or Medicine 1943,"""for his discovery of the chemical nature of vitamin K""",2-Jan,336,Individual,Edward Adelbert Doisy,1893-11-13,"Hume, IL",United States of America,Male,Saint Louis University,"St. Louis, MO",United States of America,10/23/1986,"St. Louis, MO",United States of America,no
217,1943,Physics,The Nobel Prize in Physics 1943,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",1-Jan,48,Individual,Otto Stern,1888-02-17,Sorau (Zory),Germany (Poland),Male,Carnegie Institute of Technology,"Pittsburgh, PA",United States of America,8/17/1969,"Berkeley, CA",United States of America,yes
218,1944,Chemistry,The Nobel Prize in Chemistry 1944,"""for his discovery of the fission of heavy nuclei""",1-Jan,202,Individual,Otto Hahn,1879-03-08,Frankfurt-on-the-Main,Germany,Male,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,7/28/1968,Göttingen,West Germany (Germany),no
